Year;Model;Engine Configuration;Total Mileage (km);Ideal Driving Time;Total Fuel Usage;Total Fuel Cost (ZAR);Fuel Consumption Litre/100km;Cost per km (ZAR);Possible Saving on trip with FNB E-Bucks rewards (R4.00 per litre) (ZAR);Possible Total Saving on trip with FNB E-Bucks rewards and WesBank Finance Rewards (Additional R4.00 per litre) (ZAR);Adjusted possible cost per km with FNB and WesBank Assistance (ZAR)
2019;Renault Captur 1.5DCi PHZ;1 500cc Turbo Diesel;2431.55;29h03m;115.01;1633.14;4.73;0.67;460.04;920.09;0.29
2019;Toyota Aygo;1 000cc Petrol;2431.55;29h03m;117.44;1813.27;4.83;0.74;469.77;939.55;0.35
2019;Nissan Qashqai 1.5TD;1 500cc Turbo Diesel;2431.55;29h03m;117.93;1674.6;4.85;0.68;471.72;943.44;0.30
2019;Fiat Tipo 1.3 Multi-Jet;1 300cc Turbo Diesel;2431.55;29h03m;118.17;1678.01;4.86;0.69;472.69;945.38;0.30
2019;Renault Kwid Climber;1 000cc Petrol;2431.55;29h03m;120.36;1858.25;4.95;0.76;481.44;962.89;0.36
2019;Renault Duster 1.5DCi;1 500cc Turbo Diesel;2431.55;29h03m;123.03;1747.16;5.06;0.71;492.14;984.29;0.31
2019;Suzuki Baleno 1.4 GLX;1 400cc Petrol;2431.55;29h03m;123.52;1907.14;5.08;0.78;494.09;988.18;0.37
2019;Suzuki Ignis 1.2 GLX;1 200cc Petrol;2431.55;29h03m;123.76;1911;5.09;0.78;495.06;990.12;0.37
2019;Suzuki Swift 1.2 GLX;1 200cc Petrol;2431.55;29h03m;124.25;1918.42;5.11;0.78;497.00;994.01;0.38
2019;Mahindra XUV300 1.5D;1 500cc Turbo Diesel;2431.55;29h03m;125.46;1781.67;5.16;0.73;501.87;1003.74;0.31
2019;Ford Fiesta 1.0T;1 000cc Turbo Petrol;2431.55;29h03m;126.68;1955.93;5.21;0.80;506.73;1013.47;0.38
2019;Mahindra KUV100 1.2D;1 200cc Turbo Diesel;2431.55;29h03m;126.92;1802.4;5.22;0.74;507.70;1015.41;0.32
2019;Nissan Micra Turbo;1 000cc Turbo Petrol;2431.55;29h03m;127.89;1974.77;5.26;0.81;511.59;1023.19;0.39
2019;Suzuki Vitara 1.4 GLX;1 400cc Turbo Petrol;2431.55;29h03m;129.84;2004.72;5.34;0.82;519.37;1038.75;0.39
2019;Ford Kuga 1.5TDCi;1 500cc Turbo Diesel;2431.55;29h03m;130.81;1857.64;5.38;0.76;523.26;1046.53;0.33
2019;Suzuki Swift Sport 1.4T;1 400cc Turbo Petrol;2431.55;29h03m;135.92;2098.6;5.59;0.86;543.69;1087.38;0.41
2019;Kia Picanto 1.2 Smart;1 200cc Petrol;2431.55;29h03m;137.38;2121.14;5.65;0.87;549.53;1099.06;0.42
2019;Suzuki Vitara 1.6 GL;1 600cc Petrol;2431.55;29h03m;137.86;2128.71;5.67;0.87;551.47;1102.95;0.42
2019;Suzuki Ertiga 1.5 GLX;1 500c Petrol;2431.55;29h03m;142.00;2192.48;5.84;0.90;568.01;1136.02;0.43
2019;Honda Civic 1.5T Sport;1 500cc Turbo Petrol;2431.55;29h03m;143.46;2215.02;5.92;0.91;573.84;1147.69;0.43
2019;Lexus UX Hybrid;2 000cc Petrol Hybrid;2431.55;29h03m;146.62;2263.81;6.03;0.93;586.48;1172.97;0.44
2019;Kia Sorento LX;2 200cc Turbo Diesel;2431.55;29h03m;149.05;2116.51;6.13;0.87;596.21;1192.43;0.38
